200 18000
10 84 4
141 182 5
6 53 6
179 177 7
137 157 8
94 62 9
63 42 10
116 184 1
42 137 2
88 31 3
87 129 4
36 56 5
101 120 6
12 157 7
71 192 8
53 174 9
155 174 10
172 160 1
3 97 2
142 95 3
49 167 4
53 127 5
163 129 6
60 30 7
34 168 8
41 56 9
100 120 10
80 158 1
23 112 2
103 128 3
69 127 4
197 135 5
145 110 6
80 111 7
6 110 8
39 115 9
127 120 10
68 105 1
94 60 2
53 160 3
67 26 4
145 137 5
46 119 6
141 176 7
36 195 8
143 75 9
171 20 10
52 2 1
197 7 2
79 200 3
123 19 4
168 183 5
143 78 6
55 172 7
152 79 8
154 127 9
172 111 10
134 166 1
8 98 2
109 68 3
160 27 4
109 69 5
73 28 6
57 72 7
131 58 8
40 90 9
134 70 10
174 95 1
125 177 2
125 82 3
96 4 4
144 137 5
62 42 6
123 109 7
81 130 8
106 183 9
39 109 10
166 129 1
121 171 2
18 157 3
90 91 4
15 39 5
185 168 6
109 92 7
49 47 8
193 157 9
18 135 10
34 30 1
94 139 2
104 171 3
86 175 4
83 76 5
5 76 6
200 196 7
175 157 8
16 166 9
47 4 10
182 183 1
43 124 2
119 199 3
5 116 4
168 101 5
35 58 6
146 90 7
121 29 8
56 176 9
3 155 10
12 107 1
151 138 2
116 63 3
61 105 4
71 87 5
146 195 6
37 159 7
69 30 8
188 184 9
155 34 10
133 13 1
5 37 2
200 160 3
39 12 4
141 18 5
32 101 6
6 56 7
79 92 8
86 44 9
24 154 10
74 92 1
61 183 2
169 27 3
14 168 4
188 180 5
146 97 6
151 124 7
85 123 8
62 76 9
79 86 10
24 62 1
144 153 2
102 187 3
77 190 4
75 120 5
98 124 6
43 195 7
63 182 8
97 31 9
67 110 10
19 171 1
57 142 2
1 158 3
43 62 4
138 181 5
34 166 6
155 76 7
62 167 8
170 181 9
45 193 10
187 30 1
87 92 2
121 60 3
103 99 4
9 156 5
126 169 6
131 111 7
84 182 8
176 20 9
97 200 10
63 113 1
140 185 2
46 169 3
107 138 4
51 26 5
134 55 6
38 20 7
146 110 8
79 196 9
12 186 10
132 156 1
112 39 2
93 42 3
61 122 4
133 12 5
184 196 6
105 73 7
41 131 8
18 42 9
128 181 10
147 169 1
79 178 2
117 42 3
72 163 4
174 26 5
119 183 6
191 153 7
71 88 8
187 95 9
179 192 10
177 186 1
197 158 2
113 20 3
141 158 4
57 188 5
128 124 6
128 190 7
46 91 8
172 70 9
76 136 10
159 60 1
164 198 2
53 107 3
177 30 4
125 92 5
4 139 6
144 17 7
15 84 8
77 140 9
104 20 10
152 32 1
132 29 2
123 160 3
79 120 4
48 181 5
108 25 6
172 198 7
68 28 8
42 167 9
151 92 10
43 196 1
51 120 2
22 82 3
63 65 4
80 105 5
179 16 6
53 2 7
73 42 8
143 73 9
44 199 10
140 26 1
106 111 2
14 20 3
150 167 4
21 56 5
69 17 6
51 44 7
61 42 8
98 65 9
43 140 10
93 66 1
47 107 2
129 165 3
37 33 4
71 31 5
33 163 6
9 95 7
121 108 8
146 163 9
114 142 10
137 183 1
24 164 2
74 88 3
132 20 4
197 49 5
30 101 6
85 171 7
69 60 8
85 20 9
105 164 10
71 199 1
96 25 2
118 186 3
10 168 4
125 55 5
144 155 6
105 169 7
43 78 8
126 107 9
55 98 10
174 198 1
59 84 2
96 120 3
5 79 4
115 42 5
109 66 6
85 65 7
3 122 8
9 169 9
64 199 10
163 103 1
184 157 2
42 180 3
83 29 4
97 56 5
178 132 6
98 66 7
94 102 8
162 138 9
154 111 10
155 200 1
160 95 2
197 75 3
31 128 4
116 113 5
109 12 6
144 186 7
122 183 8
172 167 9
77 149 10
125 147 1
80 100 2
146 196 3
155 106 4
38 180 5
10 119 6
117 187 7
93 63 8
197 132 9
15 166 10
185 181 1
133 137 2
10 13 3
61 79 4
44 25 5
56 198 6
82 97 7
195 13 8
86 65 9
22 154 10
51 48 1
1 131 2
145 42 3
126 93 4
93 59 5
77 91 6
179 40 7
10 1 8
191 88 9
35 61 10
68 64 1
97 184 2
178 164 3
109 1 4
83 195 5
45 154 6
36 130 7
45 124 8
49 25 9
148 91 10
101 139 1
69 62 2
11 139 3
102 199 4
45 165 5
66 181 6
14 181 7
74 110 8
104 181 9
87 156 10
38 101 1
74 97 2
6 161 3
9 186 4
134 182 5
82 51 6
72 119 7
96 163 8
197 129 9
126 113 10
179 113 1
126 106 2
15 111 3
44 200 4
155 119 5
82 19 6
155 192 7
112 53 8
93 64 9
114 186 10
9 127 1
22 32 2
123 113 3
18 36 4
38 130 5
143 166 6
8 76 7
7 157 8
71 27 9
152 113 10
197 57 1
59 64 2
112 170 3
116 176 4
53 63 5
73 13 6
162 136 7
185 131 8
171 174 9
88 60 10
116 67 1
24 115 2
25 186 3
3 90 4
89 199 5
98 147 6
14 9 7
117 129 8
131 184 9
25 181 10
146 71 1
97 32 2
81 33 3
3 162 4
6 173 5
156 192 6
168 48 7
93 50 8
57 182 9
1 106 10
14 80 1
115 196 2
98 95 3
78 27 4
74 148 5
172 170 6
131 4 7
6 159 8
160 183 9
155 31 10
88 32 1
184 180 2
60 193 3
150 107 4
55 44 5
85 157 6
22 30 7
194 184 8
152 115 9
197 105 10
155 110 1
16 78 2
153 198 3
189 107 4
68 180 5
12 154 6
96 144 7
6 151 8
162 91 9
35 113 10
143 18 1
94 106 2
14 8 3
12 163 4
143 19 5
79 124 6
185 106 7
52 9 8
83 152 9
102 38 10
1 88 1
144 150 2
7 58 3
141 37 4
61 187 5
86 20 6
109 152 7
115 132 8
9 150 9
134 186 10
16 165 1
64 138 2
56 102 3
3 31 4
88 199 5
10 188 6
22 28 7
126 114 8
41 30 9
125 174 10
52 42 1
17 127 2
133 38 3
94 127 4
197 149 5
69 98 6
5 99 7
155 100 8
61 138 9
94 118 10
75 183 1
49 156 2
25 48 3
41 199 4
15 28 5
167 65 6
60 147 7
12 161 8
117 192 9
71 200 10
69 138 1
51 136 2
12 184 3
6 10 4
53 79 5
43 163 6
189 30 7
172 174 8
134 84 9
135 27 10
50 149 1
121 70 2
126 148 3
37 168 4
15 172 5
18 26 6
23 107 7
185 187 8
124 27 9
71 13 10
33 165 1
6 195 2
30 137 3
23 92 4
141 57 5
78 171 6
70 13 7
155 49 8
37 169 9
172 54 10
146 78 1
84 28 2
7 26 3
143 76 4
80 60 5
59 27 6
18 147 7
109 56 8
49 140 9
14 190 10
96 162 1
14 198 2
186 65 3
162 4 4
15 31 5
46 181 6
85 52 7
6 112 8
146 38 9
5 172 10
189 64 1
97 183 2
12 172 3
62 173 4
67 76 5
83 122 6
125 13 7
45 179 8
90 156 9
159 192 10
93 165 1
74 2 2
43 17 3
14 145 4
135 110 5
117 17 6
28 159 7
40 20 8
59 152 9
47 73 10
137 198 1
105 38 2
178 196 3
23 96 4
72 55 5
85 81 6
168 151 7
147 167 8
57 36 9
146 76 10
97 28 1
86 75 2
178 122 3
85 71 4
74 67 5
175 196 6
22 70 7
133 18 8
67 78 9
90 150 10
84 30 1
35 127 2
25 149 3
185 153 4
81 99 5
108 12 6
97 195 7
134 68 8
171 26 9
92 138 10
112 44 1
88 65 2
133 105 3
200 150 4
41 170 5
80 167 6
4 181 7
143 157 8
23 165 9
7 176 10
24 168 1
49 21 2
158 138 3
141 134 4
22 180 5
84 99 6
105 170 7
146 149 8
140 181 9
143 64 10
161 159 1
125 51 2
57 181 3
10 75 4
135 30 5
123 72 6
15 139 7
5 160 8
78 66 9
47 154 10
67 138 1
83 86 2
81 46 3
41 83 4
122 173 5
92 173 6
53 140 7
74 47 8
121 34 9
97 172 10
54 136 1
84 129 2
8 149 3
158 164 4
69 89 5
163 151 6
72 9 7
52 87 8
104 194 9
51 137 10
115 100 1
112 130 2
113 75 3
96 44 4
137 153 5
49 75 6
63 152 7
23 37 8
23 75 9
74 171 10
53 129 1
55 164 2
30 65 3
76 154 4
169 13 5
152 44 6
77 147 7
29 139 8
35 139 9
49 103 10
71 65 1
187 170 2
24 102 3
24 40 4
35 86 5
178 4 6
81 98 7
47 175 8
137 27 9
3 14 10
58 27 1
62 117 2
85 148 3
34 156 4
58 20 5
103 147 6
14 35 7
21 169 8
98 99 9
24 149 10
22 179 1
5 123 2
77 110 3
18 137 4
134 32 5
53 34 6
116 137 7
47 98 8
55 132 9
175 129 10
97 66 1
195 165 2
146 19 3
113 124 4
187 192 5
81 102 6
63 98 7
38 149 8
81 42 9
182 196 10
184 195 1
162 148 2
89 200 3
76 66 4
83 182 5
41 46 6
6 184 7
86 32 8
85 46 9
115 127 10
44 164 1
179 119 2
21 9 3
96 28 4
26 165 5
7 118 6
47 110 7
52 4 8
94 35 9
178 90 10
177 80 1
74 4 2
144 118 3
152 107 4
109 114 5
16 92 6
25 180 7
200 31 8
59 33 9
47 58 10
21 64 1
24 119 2
101 65 3
49 180 4
52 193 5
121 157 6
34 195 7
163 17 8
78 196 9
19 195 10
194 166 1
110 91 2
157 136 3
6 152 4
145 188 5
57 193 6
81 129 7
101 27 8
115 117 9
189 192 10
175 65 1
59 99 2
17 193 3
4 20 4
113 156 5
116 110 6
18 200 7
5 51 8
2 26 9
10 166 10
18 98 1
110 130 2
146 10 3
97 78 4
3 142 5
72 102 6
16 153 7
118 156 8
188 25 9
21 97 10
140 20 1
24 44 2
9 193 3
99 75 4
79 31 5
111 157 6
79 65 7
50 150 8
2 118 9
187 118 10
105 110 1
12 130 2
151 153 3
63 140 4
23 60 5
84 13 6
63 19 7
125 140 8
177 190 9
107 120 10
189 130 1
93 105 2
68 7 3
51 16 4
143 30 5
2 142 6
53 178 7
77 87 8
142 149 9
170 20 10
1 99 1
94 9 2
101 138 3
108 98 4
125 114 5
67 111 6
34 181 7
43 20 8
62 158 9
15 198 10
98 151 1
156 120 2
125 18 3
102 26 4
164 75 5
140 72 6
35 106 7
174 75 8
8 133 9
160 176 10
21 27 1
133 176 2
83 35 3
189 154 4
50 171 5
155 66 6
30 91 7
117 169 8
57 80 9
40 137 10
67 91 1
23 111 2
22 74 3
150 100 4
34 42 5
29 27 6
68 99 7
123 21 8
39 124 9
144 104 10
78 173 1
146 86 2
63 165 3
196 54 4
9 132 5
112 194 6
185 183 7
85 15 8
36 9 9
62 118 10
189 186 1
160 111 2
6 198 3
102 64 4
37 101 5
179 184 6
116 151 7
62 139 8
74 61 9
46 28 10
33 158 1
36 75 2
5 12 3
18 86 4
71 155 5
143 86 6
186 54 7
184 30 8
53 57 9
14 69 10
104 86 1
131 40 2
52 79 3
164 136 4
21 90 5
90 187 6
97 72 7
102 32 8
53 168 9
77 13 10
106 46 1
99 4 2
143 169 3
71 8 4
102 73 5
59 160 6
31 65 7
121 97 8
36 199 9
66 118 10
40 142 1
85 130 2
98 138 3
80 195 4
200 65 5
87 89 6
8 161 7
18 188 8
5 73 9
49 73 10
185 170 1
24 120 2
37 59 3
185 195 4
31 27 5
179 47 6
185 133 7
179 73 8
3 29 9
76 187 10
50 172 1
116 143 2
104 91 3
22 49 4
159 169 5
185 189 6
163 195 7
119 181 8
143 111 9
171 66 10
141 65 1
110 139 2
81 137 3
140 4 4
23 31 5
176 107 6
81 56 7
14 176 8
49 160 9
43 154 10
74 140 1
6 166 2
48 75 3
74 184 4
78 64 5
39 165 6
23 108 7
14 115 8
103 190 9
145 175 10
63 20 1
29 180 2
184 48 3
133 120 4
8 181 5
6 167 6
191 105 7
55 167 8
41 93 9
106 58 10
155 160 1
34 199 2
63 100 3
114 159 4
5 21 5
157 65 6
53 198 7
42 157 8
191 147 9
109 98 10
31 153 1
197 192 2
71 49 3
177 55 4
5 8 5
22 10 6
129 181 7
1 159 8
134 176 9
157 138 10
125 184 1
74 81 2
26 64 3
75 27 4
125 132 5
105 75 6
114 139 7
97 42 8
77 189 9
171 99 10
56 29 1
150 193 2
121 66 3
146 182 4
82 9 5
140 78 6
19 25 7
5 140 8
14 91 9
110 175 10
84 115 1
6 138 2
167 165 3
61 191 4
5 104 5
24 92 6
94 34 7
125 61 8
143 175 9
176 95 10
189 36 1
162 137 2
51 21 3
188 76 4
40 26 5
39 106 6
9 30 7
43 74 8
185 65 9
106 147 10
132 199 1
121 104 2
47 143 3
93 82 4
1 70 5
179 25 6
110 131 7
17 91 8
11 91 9
147 180 10
144 79 1
50 198 2
49 142 3
93 186 4
77 166 5
167 13 6
146 37 7
145 7 8
113 119 9
50 10 10
123 165 1
84 150 2
16 27 3
97 67 4
145 127 5
163 147 6
16 195 7
41 76 8
6 95 9
104 107 10
50 124 1
14 56 2
57 132 3
23 55 4
22 59 5
48 4 6
74 52 7
170 66 8
35 62 9
185 145 10
2 128 1
83 11 2
57 58 3
17 31 4
21 115 5
96 24 6
2 110 7
55 62 8
191 75 9
40 32 10
24 190 1
164 176 2
84 122 3
32 11 4
123 114 5
171 190 6
37 163 7
162 192 8
185 177 9
87 86 10
14 192 1
156 127 2
19 166 3
160 139 4
115 190 5
188 107 6
35 110 7
7 20 8
142 193 9
148 107 10
179 109 1
51 107 2
94 89 3
144 31 4
2 157 5
23 80 6
3 46 7
59 56 8
104 117 9
51 110 10
46 199 1
168 176 2
18 107 3
34 200 4
59 177 5
12 183 6
85 5 7
149 92 8
197 137 9
104 148 10
172 171 1
174 181 2
106 28 3
144 73 4
123 10 5
5 7 6
125 121 7
134 180 8
94 167 9
152 131 10
143 113 1
164 27 2
69 55 3
128 65 4
191 31 5
113 165 6
2 90 7
93 181 8
117 196 9
125 157 10
39 81 1
112 115 2
5 48 3
43 99 4
14 173 5
108 2 6
86 165 7
86 106 8
19 13 9
161 171 10
87 195 1
73 149 2
117 176 3
171 129 4
5 33 5
24 79 6
38 193 7
87 194 8
192 129 9
44 157 10
53 46 1
90 64 2
10 102 3
141 61 4
166 4 5
179 161 6
34 89 7
19 102 8
46 180 9
125 80 10
116 28 1
72 160 2
73 164 3
88 117 4
78 54 5
49 189 6
55 58 7
166 151 8
121 67 9
53 99 10
67 200 1
71 112 2
132 64 3
146 8 4
126 95 5
6 123 6
197 147 7
113 170 8
23 187 9
175 142 10
47 102 1
158 25 2
110 196 3
53 11 4
200 106 5
74 178 6
126 111 7
80 173 8
159 190 9
131 54 10
85 76 1
82 66 2
15 135 3
74 64 4
89 7 5
184 132 6
45 132 7
38 127 8
37 89 9
188 42 10
19 194 1
61 57 2
85 88 3
143 142 4
16 28 5
97 169 6
45 136 7
161 190 8
144 100 9
121 31 10
140 47 1
62 136 2
81 115 3
89 128 4
112 177 5
70 28 6
34 38 7
76 30 8
59 173 9
134 89 10
171 169 1
191 168 2
96 55 3
5 11 4
37 135 5
24 138 6
49 164 7
21 55 8
155 40 9
10 183 10
135 69 1
41 110 2
89 20 3
98 48 4
177 168 5
163 64 6
31 167 7
3 163 8
140 118 9
18 46 10
15 152 1
25 9 2
134 78 3
175 111 4
187 130 5
15 36 6
24 177 7
97 7 8
200 169 9
112 30 10
87 137 1
41 147 2
51 86 3
159 13 4
81 156 5
182 95 6
191 107 7
71 193 8
181 20 9
158 167 10
133 110 1
39 145 2
151 157 3
72 198 4
158 186 5
184 199 6
121 109 7
48 122 8
72 118 9
43 114 10
51 32 1
144 165 2
73 150 3
36 46 4
117 28 5
118 27 6
101 169 7
133 1 8
82 168 9
69 105 10
38 183 1
88 147 2
199 130 3
41 101 4
2 86 5
182 136 6
121 155 7
98 181 8
98 38 9
157 91 10
43 138 1
56 58 2
180 95 3
126 190 4
134 156 5
23 132 6
15 37 7
52 72 8
21 192 9
23 135 10
134 65 1
121 25 2
82 188 3
167 129 4
70 128 5
18 25 6
14 144 7
32 128 8
84 156 9
79 151 10
41 142 1
131 99 2
74 169 3
24 97 4
55 110 5
79 161 6
63 132 7
51 108 8
80 147 9
121 64 10
106 139 1
69 142 2
125 45 3
131 38 4
106 151 5
3 73 6
21 101 7
112 32 8
35 114 9
115 139 10
39 28 1
145 60 2
118 128 3
187 101 4
59 183 5
88 107 6
68 161 7
126 163 8
141 26 9
18 9 10
117 148 1
111 13 2
149 13 3
73 192 4
93 110 5
152 145 6
96 21 7
121 30 8
80 180 9
69 40 10
146 47 1
155 187 2
124 138 3
132 190 4
59 107 5
155 151 6
90 147 7
134 175 8
79 103 9
151 147 10
84 178 1
104 130 2
177 170 3
49 124 4
115 172 5
56 119 6
61 101 7
179 168 8
3 68 9
114 178 10
104 31 1
50 175 2
10 182 3
113 149 4
191 161 5
72 106 6
85 84 7
162 92 8
15 177 9
155 128 10
182 130 1
47 174 2
107 127 3
162 119 4
45 157 5
12 90 6
191 54 7
105 166 8
95 91 9
78 114 10
200 162 1
53 102 2
188 182 3
49 88 4
62 149 5
7 95 6
188 165 7
62 138 8
74 42 9
105 136 10
77 88 1
23 200 2
194 4 3
43 158 4
194 58 5
41 104 6
43 65 7
164 180 8
37 27 9
6 21 10
108 152 1
62 180 2
79 147 3
99 156 4
178 99 5
51 172 6
106 157 7
21 12 8
168 149 9
5 191 10
120 181 1
160 170 2
108 142 3
59 165 4
1 26 5
38 148 6
109 198 7
3 116 8
85 166 9
126 41 10
72 137 1
172 13 2
104 17 3
37 162 4
83 88 5
195 196 6
112 176 7
168 58 8
165 95 9
133 42 10
87 4 1
52 178 2
33 175 3
68 88 4
168 170 5
145 102 6
155 79 7
73 167 8
196 147 9
182 111 10
19 162 1
144 28 2
60 129 3
62 122 4
161 101 5
12 192 6
35 31 7
138 153 8
2 40 9
49 81 10
146 121 1
93 199 2
38 26 3
71 169 4
199 65 5
12 32 6
99 29 7
62 13 8
172 27 9
30 13 10
14 106 1
155 69 2
166 46 3
45 27 4
58 46 5
84 153 6
100 4 7
126 184 8
38 137 9
88 167 10
117 180 1
40 149 2
158 192 3
194 170 4
5 133 5
64 129 6
33 29 7
99 64 8
8 102 9
37 152 10
21 4 1
191 138 2
135 139 3
177 44 4
82 122 5
103 165 6
51 173 7
53 183 8
112 63 9
93 68 10
103 156 1
67 70 2
56 187 3
21 7 4
59 11 5
96 145 6
25 101 7
104 98 8
36 70 9
83 154 10
2 151 1
2 46 2
109 119 3
137 100 4
178 38 5
192 198 6
45 2 7
160 92 8
146 12 9
85 68 10
188 181 1
35 142 2
63 33 3
182 149 4
132 95 5
48 150 6
178 20 7
109 29 8
86 157 9
67 100 10
102 195 1
154 199 2
22 159 3
104 84 4
84 173 5
116 99 6
97 158 7
149 29 8
3 158 9
168 111 10
76 186 1
197 52 2
32 176 3
77 114 4
27 136 5
179 39 6
85 75 7
200 103 8
60 173 9
97 19 10
63 77 1
18 167 2
34 87 3
19 128 4
162 124 5
71 89 6
107 136 7
37 117 8
172 147 9
53 163 10
77 137 1
37 180 2
89 161 3
191 185 4
6 179 5
150 136 6
97 64 7
86 26 8
132 138 9
174 54 10
197 92 1
2 27 2
103 54 3
34 178 4
177 2 5
114 132 6
126 182 7
156 181 8
105 187 9
82 165 10
45 14 1
133 107 2
125 104 3
103 176 4
105 181 5
194 157 6
175 124 7
37 119 8
191 115 9
85 55 10
59 111 1
71 175 2
158 28 3
134 91 4
15 42 5
37 18 6
93 69 7
26 198 8
168 162 9
108 150 10
191 99 1
109 149 2
171 101 3
45 83 4
110 65 5
2 156 6
44 195 7
32 122 8
191 13 9
10 76 10
16 114 1
25 20 2
140 88 3
146 188 4
82 159 5
143 44 6
138 130 7
121 51 8
196 42 9
9 13 10
143 184 1
114 127 2
160 169 3
69 48 4
14 60 5
35 60 6
11 193 7
141 53 8
84 168 9
49 97 10
87 173 1
141 138 2
88 150 3
149 101 4
46 195 5
125 85 6
108 44 7
45 176 8
43 104 9
141 30 10
104 163 1
22 104 2
141 108 3
156 139 4
63 38 5
195 137 6
179 77 7
154 136 8
22 198 9
64 65 10
54 4 1
94 16 2
59 67 3
71 167 4
161 160 5
74 149 6
23 68 7
85 177 8
123 183 9
176 13 10
118 195 1
68 174 2
121 184 3
77 130 4
140 136 5
96 159 6
106 7 7
119 180 8
155 142 9
191 199 10
70 150 1
144 57 2
96 160 3
131 106 4
14 41 5
48 153 6
40 38 7
133 187 8
45 198 9
69 139 10
45 24 1
10 174 2
123 91 3
86 46 4
102 128 5
121 17 6
87 99 7
51 177 8
72 91 9
146 40 10
68 36 1
43 60 2
67 17 3
52 139 4
178 157 5
155 145 6
63 47 7
6 82 8
113 154 9
12 174 10
151 192 1
14 77 2
104 164 3
96 168 4
81 11 5
176 27 6
179 147 7
55 117 8
161 170 9
195 60 10
172 176 1
148 101 2
140 135 3
168 167 4
68 4 5
99 180 6
188 28 7
6 150 8
133 60 9
158 128 10
44 111 1
18 13 2
187 164 3
114 167 4
67 88 5
15 22 6
6 17 7
125 170 8
126 135 9
145 114 10
132 176 1
94 181 2
81 153 3
63 127 4
3 75 5
131 199 6
23 118 7
62 196 8
141 84 9
5 179 10
113 17 1
161 130 2
106 27 3
72 44 4
76 38 5
35 38 6
125 64 7
63 97 8
55 119 9
50 132 10
67 181 1
16 12 2
175 20 3
80 136 4
131 159 5
151 196 6
7 127 7
41 50 8
79 164 9
3 174 10
177 10 1
191 21 2
149 192 3
163 162 4
16 75 5
162 64 6
22 95 7
93 198 8
19 124 9
39 91 10
49 169 1
3 170 2
94 11 3
11 138 4
145 105 5
177 107 6
52 20 7
74 83 8
168 13 9
178 117 10
46 196 1
152 166 2
10 115 3
1 149 4
134 62 5
6 119 6
138 136 7
57 9 8
22 172 9
180 129 10
45 78 1
185 157 2
189 105 3
171 182 4
149 147 5
147 122 6
36 157 7
108 105 8
41 189 9
66 119 10
71 37 1
23 158 2
126 32 3
53 47 4
82 29 5
43 137 6
141 1 7
97 75 8
88 54 9
110 147 10
98 110 1
140 28 2
115 162 3
141 119 4
121 37 5
125 190 6
83 170 7
6 78 8
106 176 9
108 147 10
61 174 1
23 87 2
76 196 3
25 137 4
46 164 5
112 165 6
125 28 7
1 195 8
121 73 9
110 32 10
197 66 1
3 130 2
82 55 3
15 121 4
104 198 5
96 22 6
5 61 7
39 30 8
178 165 9
104 195 10
131 13 1
1 164 2
15 68 3
96 36 4
34 115 5
144 55 6
7 192 7
11 100 8
35 52 9
59 119 10
100 91 1
97 55 2
78 153 3
132 151 4
174 151 5
47 193 6
116 191 7
96 170 8
134 102 9
33 161 10
64 165 1
63 164 2
24 117 3
24 174 4
200 149 5
47 76 6
144 93 7
117 160 8
30 27 9
145 90 10
194 164 1
10 73 2
47 105 3
39 102 4
182 13 5
171 90 6
45 177 7
15 46 8
41 4 9
75 148 10
63 58 1
67 130 2
123 90 3
137 138 4
83 82 5
184 7 6
122 20 7
44 165 8
94 109 9
40 75 10
195 139 1
67 165 2
143 101 3
158 122 4
176 92 5
1 192 6
25 139 7
145 36 8
160 157 9
77 164 10
200 25 1
39 170 2
18 159 3
84 175 4
80 127 5
35 102 6
166 92 7
35 36 8
174 119 9
59 154 10
19 70 1
62 186 2
13 95 3
10 16 4
35 27 5
114 194 6
160 149 7
191 120 8
177 118 9
10 137 10
159 162 1
175 180 2
144 26 3
93 175 4
172 40 5
83 38 6
110 188 7
166 26 8
82 2 9
83 20 10
14 34 1
102 28 2
141 196 3
155 115 4
105 101 5
97 11 6
41 127 7
68 16 8
191 171 9
55 160 10
74 195 1
69 99 2
103 160 3
43 100 4
122 65 5
175 119 6
194 130 7
61 102 8
6 37 9
47 113 10
154 54 1
121 173 2
23 64 3
123 17 4
187 129 5
25 38 6
55 150 7
152 173 8
125 145 9
178 54 10
5 90 1
135 118 2
188 137 3
71 109 4
124 4 5
106 13 6
12 182 7
180 198 8
5 110 9
35 32 10
6 133 1
67 102 2
59 186 3
108 120 4
44 176 5
60 198 6
105 120 7
140 108 8
6 165 9
85 144 10
146 155 1
141 100 2
154 129 3
62 182 4
146 159 5
61 70 6
8 12 7
119 120 8
79 46 9
115 138 10
57 86 1
126 51 2
189 42 3
123 37 4
52 103 5
143 36 6
53 65 7
86 181 8
145 65 9
93 135 10
16 172 1
180 130 2
126 61 3
118 149 4
163 26 5
152 120 6
177 157 7
41 99 8
145 95 9
87 102 10
82 166 1
156 4 2
7 48 3
32 103 4
3 148 5
110 101 6
189 99 7
108 92 8
52 40 9
20 91 10
59 182 1
82 62 2
88 137 3
109 27 4
61 32 5
49 163 6
163 118 7
98 9 8
97 33 9
124 153 10
61 159 1
94 1 2
152 80 3
113 182 4
71 165 5
152 73 6
49 12 7
49 56 8
118 127 9
44 148 10
109 80 1
14 93 2
82 189 3
96 73 4
148 54 5
133 193 6
55 165 7
144 188 8
77 60 9
140 192 10
57 7 1
89 65 2
67 157 3
51 97 4
94 192 5
123 41 6
33 4 7
171 128 8
143 200 9
71 180 10
123 163 1
21 10 2
145 66 3
179 9 4
45 106 5
144 62 6
38 9 7
3 78 8
63 90 9
158 60 10
142 100 1
11 129 2
52 142 3
160 17 4
161 187 5
177 117 6
83 169 7
114 86 8
2 100 9
84 76 10
168 138 1
185 79 2
67 195 3
159 119 4
109 89 5
197 65 6
185 91 7
23 71 8
12 122 9
58 176 10
178 60 1
85 36 2
3 168 3
3 139 4
23 175 5
123 148 6
191 38 7
193 129 8
195 157 9
166 27 10
50 30 1
14 13 2
23 168 3
133 26 4
47 189 5
140 79 6
1 163 7
5 59 8
5 153 9
133 195 10
39 142 1
87 167 2
161 120 3
8 131 4
112 148 5
57 161 6
77 31 7
81 9 8
8 21 9
99 159 10
104 110 1
8 101 2
12 149 3
178 91 4
35 10 5
77 138 6
21 131 7
78 36 8
44 132 9
8 190 10
141 181 1
84 42 2
52 196 3
3 107 4
152 118 5
43 151 6
47 138 7
88 163 8
197 153 9
23 47 10
126 167 1
56 168 2
36 92 3
108 176 4
77 55 5
27 183 6
57 131 7
52 159 8
48 176 9
24 167 10
163 180 1
26 128 2
21 84 3
80 27 4
103 11 5
37 142 6
40 119 7
89 100 8
74 19 9
80 113 10
55 193 1
193 183 2
170 130 3
36 114 4
121 8 5
148 149 6
39 159 7
2 172 8
39 99 9
116 30 10
119 60 1
79 192 2
5 109 3
109 164 4
149 54 5
146 70 6
7 183 7
83 92 8
106 130 9
98 117 10
109 127 1
45 199 2
36 198 3
186 192 4
21 92 5
191 118 6
125 162 7
144 2 8
93 131 9
22 19 10
96 74 1
18 142 2
71 174 3
116 138 4
135 172 5
47 192 6
34 99 7
51 36 8
134 195 9
102 170 10
191 17 1
101 127 2
69 9 3
70 31 4
194 7 5
93 1 6
116 37 7
53 199 8
153 136 9
179 186 10
187 182 1
173 181 2
53 115 3
36 153 4
143 106 5
52 32 6
12 195 7
52 65 8
45 42 9
23 140 10
116 161 1
41 115 2
106 95 3
47 18 4
123 93 5
96 190 6
184 106 7
200 101 8
35 90 9
76 175 10
52 48 1
185 40 2
177 167 3
53 13 4
34 70 5
50 174 6
33 136 7
88 159 8
62 28 9
178 151 10
72 62 1
137 95 2
142 198 3
106 181 4
186 111 5
96 71 6
82 7 7
34 100 8
121 152 9
84 110 10
8 120 1
69 173 2
8 19 3
144 124 4
6 83 5
58 139 6
76 11 7
82 167 8
93 44 9
77 184 10
87 192 1
197 27 2
25 92 3
51 100 4
194 60 5
175 66 6
168 156 7
103 31 8
22 178 9
112 21 10
114 48 1
49 57 2
134 46 3
2 28 4
71 128 5
179 81 6
66 154 7
93 98 8
53 137 9
61 192 10
146 165 1
145 11 2
134 79 3
16 56 4
112 9 5
17 195 6
35 17 7
74 89 8
87 154 9
184 27 10
116 46 1
188 106 2
28 142 3
5 152 4
98 36 5
22 21 6
154 29 7
168 107 8
51 152 9
45 10 10
57 12 1
19 131 2
85 194 3
6 88 4
109 64 5
92 100 6
6 65 7
149 180 8
121 24 9
16 130 10
34 75 1
43 7 2
18 72 3
51 42 4
116 148 5
94 64 6
21 200 7
16 181 8
72 130 9
87 115 10
187 136 1
68 158 2
133 88 3
55 188 4
15 180 5
72 48 6
78 7 7
78 42 8
48 92 9
119 195 10
134 159 1
155 20 2
125 84 3
191 92 4
179 170 5
